song_id,artist_name,album_name,track_name,popularity_count
0,Missy Elliott,The Cookbook,Lose Control (feat. Ciara & Fat Man Scoop),6
1,Britney Spears,In The Zone,Toxic,13
2,Beyoncé,Dangerously In Love (Alben für die Ewigkeit),Crazy In Love,27
3,Justin Timberlake,Justified,Rock Your Body,9
4,Shaggy,Hot Shot,It Wasn't Me,25
5,Usher,Confessions,Yeah!,34
6,Usher,Confessions,My Boo,8
7,The Pussycat Dolls,PCD,Buttons,7
8,Destiny's Child,The Writing's On The Wall,Say My Name,12
9,OutKast,Speakerboxxx/The Love Below,Hey Ya! - Radio Mix / Club Mix,25
10,Nelly Furtado,Loose,Promiscuous,13
11,Jesse McCartney,Right Where You Want Me,Right Where You Want Me - Radio Edit Version,3
12,Jesse McCartney,Beautiful Soul,Beautiful Soul,12
13,Jesse McCartney,Departure - Recharged,Leavin',4
14,Cassie,Cassie,Me & U,7
15,Omarion,21,Ice Box,4
16,Avril Lavigne,Let Go,Sk8er Boi,11
17,Chris Brown,Chris Brown,Run It!,7
18,Beyoncé,B'Day,Check On It - feat. Bun B and Slim Thug,4
19,Destiny's Child,The Writing's On The Wall,"Jumpin', Jumpin'",6
20,Sheryl Crow,C'Mon C'Mon,Soak Up The Sun,2
21,The Black Eyed Peas,Elephunk,Where Is The Love?,11
22,Bowling For Soup,I've Never Done Anything Like This,Stacy's Mom,4
23,The Click Five,Greetings From Imrie House,Just The Girl,3
24,Chris Brown,Chris Brown,Yo (Excuse Me Miss),5
25,Jonas Brothers,Jonas Brothers,Year 3000,11
26,Lil Mama,Lip Gloss,Lip Gloss,8
27,Cascada,Everytime We Touch,Everytime We Touch - Radio Edit,8
28,Jason Derulo,Jason Derulo,Whatcha Say,16
29,Ne-Yo,Year Of The Gentleman,Miss Independent,13
30,Miley Cyrus,The Time Of Our Lives,Party In The U.S.A.,27
31,Boys Like Girls,Boys Like Girls,The Great Escape,9
32,Iyaz,Replay,Replay,16
33,Chris Brown,Exclusive - The Forever Edition,Forever,15
34,Kesha,Animal,Your Love Is My Drug,7
35,Ne-Yo,Year Of The Gentleman,Closer,8
36,Justin Bieber,My World,One Less Lonely Girl,4
37,M.I.A.,Kala,Paper Planes,8
38,The Killers,Hot Fuss,Mr. Brightside,26
39,blink-182,Enema Of The State,All The Small Things,13
40,The Pussycat Dolls,PCD,Beep,1
41,Justin Bieber,My Worlds,Somebody To Love,4
42,The All-American Rejects,Move Along,Dirty Little Secret,9
43,Justin Bieber,My Worlds,Baby,6
44,Vanessa Carlton,Be Not Nobody,A Thousand Miles,14
45,Cris Cab,Red Road,Livin on Sunday,2
46,Miley Cyrus,See You Again,See You Again,5
47,Jesse McCartney,Departure - Recharged,How Do You Sleep? - Featuring Ludacris,1
48,Demi Lovato,Camp Rock Original Soundtrack,This Is Me,4
49,Avril Lavigne,Under My Skin,My Happy Ending,2
50,We The Kings,We The Kings,Check Yes Juliet,3
51,Survivor,Eye Of The Tiger,Eye of the Tiger,21
52,Daniel Tidwell,Versus Hollywood,Libera Me From Hell (Tengen Toppa Gurren Lagann),1
53,Daniel Tidwell,Versus Hollywood,Pokémon Theme,1
54,Daniel Tidwell,Versus Hollywood,Concerning Hobbits (The Lord of the Rings),1
55,Daniel Tidwell,Versus Hollywood,The Blood of Cuchulainn (The Boondock Saints),1
56,Daniel Tidwell,Versus Hollywood,He's a Pirate (Pirates of the Caribbean),1
57,Daniel Tidwell,Versus Video Games,Very Bloody Tears (Castlevania II: Simon's Quest),1
58,Kaleptik,"Video Game Remixes, Vol. 1",U.N. Owen Was Her? (Remix),1
59,Ben Foster,Doctor Who: Series 6 (Original Television Soundtrack),I am the Doctor in Utah,1
60,Leslie Odom Jr.,Hamilton,The Room Where It Happens,2
61,Christopher Jackson,Hamilton,Right Hand Man,1
62,Leslie Odom Jr.,Hamilton,Alexander Hamilton,5
63,Lin-Manuel Miranda,Hamilton,My Shot,3
64,Led Zeppelin,Led Zeppelin IV,Stairway To Heaven,17
65,Collective Soul,"Hints, Allegations & Things Left Unsaid",Shine,4
66,Nightwish,Once,Ghost Love Score,1
67,Seal,Best 1991 - 2004,Crazy,3
68,The Rolling Stones,Beggars Banquet,Sympathy For The Devil,10
69,The Rolling Stones,Let It Bleed,Gimme Shelter,10
70,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird,11
71,Boston,Boston,Peace of Mind,4
72,Boston,Boston,Foreplay / Long Time,2
73,Toto,Toto,Hold the Line,4
74,Kansas,Leftoverture,Carry on Wayward Son,22
75,Queen,A Night At The Opera,Bohemian Rhapsody - Remastered 2011,30
76,Lynyrd Skynyrd,Second Helping,Sweet Home Alabama,27
77,Boston,Boston,More Than a Feeling,21
78,Led Zeppelin,Physical Graffiti,Kashmir,4
79,Ben Foster,Doctor Who: Series 6 (Original Television Soundtrack),The Majestic Tale (Of A Madman In A Box),1
80,Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,26
81,Creedence Clearwater Revival,Willy And The Poor Boys,Fortunate Son,16
82,Scorpions,Love At First Sting,Rock You Like A Hurricane,7
83,Rush,Moving Pictures,Tom Sawyer,3
84,Rush,Moving Pictures,Red Barchetta,1
85,Rush,Moving Pictures,YYZ,1
86,Rush,Moving Pictures,Limelight,3
87,Rush,Moving Pictures,The Camera Eye,1
88,Rush,Moving Pictures,Witch Hunt,1
89,Rush,Moving Pictures,Vital Signs,1
90,Hoody,On And On,Like You,1
91,Loco,GOOD (feat. ELO),GOOD (feat. ELO),1
92,Park Kyung,Inferiority Complex (feat. Eunha),Inferiority Complex (feat. Eunha),1
93,Park Kyung,Ordinary Love (Feat.Park Boram),Ordinary Love,1
94,BTS,You Never Walk Alone,Spring Day,2
95,Lovelyz,Lovelyz8,Ah-Choo,1
96,LEE HI,SEOULITE,BREATHE,1
97,LEE HI,SEOULITE,FXXK WIT US,1
98,Ailee,U&I,I Will Show You,1
99,Miso,Take Me,Take Me,1
100,Zion.T,꺼내 먹어요 (Eat) - Single,꺼내 먹어요 (Eat),1
101,Zion.T,No Make Up - Single,No Make Up,1
102,KARD,"K.A.R.D Project Vol.1 ""Oh NaNa""",Oh NaNa (Hidden. HUR YOUNG JI),1
103,KARD,"K.A.R.D Project Vol.2 ""Don't Recall""",Don't Recall,1
104,Zion.T,양화대교 (Yanghwa Brdg) - Single,양화대교 (Yanghwa Brdg),1
105,Soyou & Junggigo,Some,Some (feat.Geeks Lil Boi),1
106,Jay Park,Everything You Wanted,Me Like Yuh,1
107,Jay Park,Everything You Wanted,사실은 The Truth Is,1
108,Jay Park,Everything You Wanted,Solo (feat. Hoody),1
109,Zico,Boys And Girls,Boys and Girls (feat. Babylon),1
110,Ailee,Guardian (Original Television Soundtrack) Part 9,I will go to you like the first snow,1
111,LEE HI,First Love,Rose,1
112,Jay Park,Everything You Wanted,Aquaman,1
113,BTS,Skool Luv Affair,Just One Day,1
114,BLACKPINK,SQUARE ONE,WHISTLE - KR Ver.,2
115,Eddy Kim,The Manual,The Manual,1
116,Jung Yong Hwa,Heartstrings OST Part.1,Heartstrings,1
117,Jung Yong Hwa,Korea OST Top Hits 2014,See My Eyes (Heartstring OST),1
118,CNBLUE,Can't Stop,Can't Stop,1
119,CNBLUE,BLUEMING,You're So Fine,1
120,Jay Park,Everything You Wanted,Drive (feat. Gray),1
121,Apink,Pink LUV + Blossom,Mr. Chu,1
122,Apink,APINK BEAST ALBUM,NoNoNo,1
123,Suzy,Dream,Dream,1
124,BAEKHYUN,우리 옆집에 EXO가 산다 (EXO NEXT DOOR) OST,두근거려 (Beautiful),1
125,Suzy,Uncontrollably Fond OST Part.1,Ring My Bell,1
126,V,"HWARANG, Pt. 2 (Music from the Original TV Series)",It's Definitely You,1
127,BIGBANG,MADE,LAST DANCE,1
128,BIGBANG,MADE,FXXK IT,1
129,Hoody,On And On,Your Eyes (feat. Jay Park),1
130,BLACKPINK,As If It's Your Last,As If It's Your Last,2
131,G-DRAGON,KWON JI YONG,"Untitled, 2014 - KR Ver.",1
132,G-DRAGON,KWON JI YONG,OUTRO: Divina Commedia - KR Ver.,1
133,SOL,RISE,"EYES, NOSE, LIPS - KR Ver.",3
134,TAEYANG,Solar,Wedding Dress,2
135,AKDONG MUSICIAN,Play,200%,1
136,BLACKPINK,SQUARE TWO,STAY - KR Ver.,2
137,BTS,Wings,21st Century Girl,1
138,EXO,THE WAR - The 4th Album,전야 前夜 The Eve,1
139,KARD,KARD 1st Mini Album 'Hola Hola',Hola Hola,1
140,Hyuna,A+,Roll Deep,1
141,AKDONG MUSICIAN,SUMMER EPISODE,DINOSAUR,1
142,EXO,THE WAR - The 4th Album,Ko Ko Bop,1
143,Jung Yong Hwa,JUNG YONG HWA 1ST MINI ALBUM DO DISTURB,That Girl (Feat. Loco),1
144,Jay Park,Yacht (K) [feat. Sik-K],Yacht (K) [feat. Sik-K],1
145,BTS,The Most Beautiful Moment in Life Pt.1,Hold Me Tight,1
146,Jenyer,Cliché,Cliché,1
147,EXO,THE WAR - The 4th Album,What U do?,1
148,YEZI,Anck Su Namum,Anck Su Namum,1
149,JIMIN (AOA),Call You Bae,Call You Bae,1
150,BTS,Love Yourself 承 'Her',Intro: Serendipity,2
151,BTS,Love Yourself 承 'Her',DNA,2
152,BTS,Love Yourself 承 'Her',dimple,2
153,BTS,Love Yourself 承 'Her',MIC Drop,2
154,Camille Saint-Saëns,French Festival,Danse macabre,1
155,Camille Saint-Saëns,"Grieg, Saint-Saëns: Piano Concertos","Piano concerto No. 2 in G Minor, Op. 22: Piano concerto No. 2 in G Minor, Op. 22: II. Allegro scherzando",1
156,No Vacation,Summer Break Mixtape,Dræm Girl,1
157,No Vacation,Summer Break Mixtape,Sad Valentine,1
158,Banes World,You Say I'm in Love,You Say I'm in Love,1
159,Banes World,Drowsy,Drowsy,1
160,PWR BTTM,Ugly Cherries,Serving Goffman,1
161,Tears For Fears,Songs From The Big Chair,Sea Song,1
162,Natureboy,Only No One,Fortune Only,1
163,Joy Again,Looking out for You,Looking out for You,1
164,Joy Again,Joy Again - EP,Necromancer,1
165,Joy Again,Joy Again - EP,Mistakes,1
166,Part Time,Virgo's Maze,Strangest Eyes,1
167,Part Time,Virgo's Maze,It's Elizabeth,1
168,Part Time,Virgo's Maze,Pussy of my Dreams,1
169,Part Time,What Would You Say?,19,1
170,King Krule,6 Feet Beneath The Moon,Neptune Estate,2
171,The Preatures,Blue Planet Eyes,Somebody's Talking,1
172,DIIV,Is the Is Are,Bent (Roi's Song),1
173,Gazebos,Die Alone,Just Get High,1
174,Tacocat,Lost Time,I Love Seattle,1
175,Army Navy,Army Navy,Dark as Days,1
176,The Lonely Forest,Arrows,End It Now!,1
177,Rooney,Calling The World,When Did Your Heart Go Missing?,2
178,Bloc Party,Intimacy,Signs,1
179,Waxahatchee,Ivy Tripp,Under A Rock,1
180,Grizzly Bear,Veckatimest,Two Weeks,6
181,Grizzly Bear,Shields,Yet Again,2
182,Vampire Weekend,Vampire Weekend,Campus,1
183,The Babies,Our House on the Hill,Mess Me Around,1
184,Kopecky,Drug For The Modern Age,Talk To Me,2
185,Nothing But Thieves,Nothing But Thieves,Trip Switch,1
186,Dr. Dog,Heart It Races,Heart It Races - Dr Dog Version,2
187,My Morning Jacket,The Waterfall,Big Decisions,1
188,Wet,Don't You,It's All in Vain,2
189,Wet,Don't You,Deadwater,1
190,Steve Lacy,C U Girl,C U Girl,1
191,BROCKHAMPTON,ALL-AMERICAN TRASH,HOME,1
192,BROCKHAMPTON,ALL-AMERICAN TRASH,CONTACTS,1
193,A.Dd+,Can't Come Down,Can't Come Down,1
194,Antwon,Luv,Luv,1
195,Antwon,Dying in the Pussy,Life Is What You Make It,1
196,Night Lovell,Red Teenage Melody,Contraband,1
197,bo en,Pale Machine,Miss You,1
198,bo en,Pale Machine Expansion Pack Singles,Money Won't Pay,1
199,bo en,Pale Machine Expansion Pack Singles,I'll Fall,1
200,Cigarettes After Sex,I.,Nothing's Gonna Hurt You Baby,2
201,Cigarettes After Sex,Affection,Affection,1
202,dandelion hands,It's All In Your Head,I Like You,1
203,Sports,Naked All the Time,Strange to Hear,1
204,The Kooks,Listen,Sweet Emotion,2
205,Xiu Xiu,A Promise,Pink City,1
206,Moose,Live A Little Love A Lot,First Balloon To Nice,1
207,Moose,Live A Little Love A Lot,Rubdown,1
208,Moose,Live A Little Love A Lot,So Much Love So Little Time,1
209,Moose,Live A Little Love A Lot,Last Of The Good Old Days,1
210,Moose,. . . XYZ,Screaming,1
211,Rogue Wave,Descended Like Vultures,Love's Lost Guarantee,1
212,Rogue Wave,10:1,10:1,1
213,Rogue Wave,10:1,Crush The Camera,1
214,Rogue Wave,Out of the Shadow,Every Moment,1
215,Rogue Wave,Out of the Shadow,Endgame,1
216,Weezer,Pinkerton,El Scorcho,2
217,Meltycanon,soft & wet,Veldt,1
218,Meltycanon,soft & wet,Patroklos,1
219,Meltycanon,old compilation 3,suncream,1
220,Chairlift,Moth,Crying in Public,1
221,Connan Mockasin,Caramel,It's Your Body 4,1
222,Marcy Playground,Marcy Playground,Poppies,1
223,Concorde,Summer House,Just Kiss Her,1
224,Mariah Carey,Infinity,Infinity,1
225,Mariah Carey,E=MC²,Touch My Body,4
226,"Parks, Squares and Alleys",We're Not Just Friends,We're Not Just Friends,1
227,Ween,Quebec,Tried And True,1
228,SWV,It's About Time,Weak,3
229,Fazerdaze,Morningside,Lucky Girl,1
230,Mons Vi,"Mons Vi Bootlegs, Vol. 1 (B-Sides Compilation)",Stay (Bedroom Tape),1
231,Oingo Boingo,Dead Man's Party,Weird Science,1
232,Oingo Boingo,Dead Man's Party,No One Lives Forever,1
233,Oingo Boingo,Boingo Alive,Wild Sex (In The Working Class) - 1988 Boingo Alive Version,1
234,Oingo Boingo,Only A Lad,Only A Lad,1
235,Oingo Boingo,Skeletons In The Closet: The Best Of Oingo Boingo,Private Life - Edited Version,1
236,salvia palth,melanchole,i was all over her,2
237,Blonde Tongues,Blonde Tongues,Hey Good Lookin',1
238,Sufjan Stevens,The Age of Adz,All for Myself,1
239,How To Dress Well,"""What Is This Heart?""",Words I Don't Remember,1
240,How To Dress Well,Care,Lost Youth / Lost You,1
241,Bobby Caldwell,What You Won't Do for Love,What You Won't Do for Love,2
242,Hüsker Dü,Candy Apple Grey,Don't Want To Know If You Are Lonely,2
243,Hüsker Dü,Eight Miles High/Makes No Sense At All (Single),Eight Miles High,1
244,Hüsker Dü,Warehouse: Songs And Stories,Turn It Around,1
245,Hüsker Dü,Warehouse: Songs And Stories,She's A Woman [And Now He Is A Man],1
246,Hüsker Dü,Candy Apple Grey,Crystal,1
247,The Vapors,Turning Japanese - Best Of The Vapors,Turning Japanese,1
248,Lets Kill Janice,Interference / Smile & Gesture,Interference,1
249,Bedroom,Grow,Nothing Lasts,1
250,Bedroom,Vivid,Nostalgic Feel,1
251,The Truth,Playground,Spread A Little Sunshine,1
252,Gift,Gift,Drugs,1
253,Floh de Cologne,Lucky Streik,Kalte Wut / Wenn Ich Einmal Reich Bin,1
254,May Blitz,May Blitz,Smoking the Day Away,1
255,Jehst,High Plains Drifter,High Plains Anthem,1
256,Black Moon,Enta da Stage,Who Got Da Props,1
257,Lords Of The Underground,Here Come the Lords,Chief Rocka,1
258,Rod McKuen,One by One,Love's Been Good To Me,1
259,John SaFranko,"Songs of Rod McKuen, Vol. 1 & 2",Listen to the Warm,1
260,WHY?,Alopecia,Fatalist Palmistry,1
261,Varsity,"Cult of Personality - So Sad, So Sad","So Sad, So Sad",2
262,Varsity,"Cult of Personality - So Sad, So Sad",Cult of Personality,1
263,Declan McKenna,What Do You Think About the Car?,Brazil,5
264,Declan McKenna,What Do You Think About the Car?,Bethlehem,1
265,Phony Ppl,Yesterday's Tomorrow,Why iii Love The Moon.,1
266,Michael Kiwanuka,Home Again,I'll Get Along,2
267,Etta James,At Last!,A Sunday Kind Of Love - Single Version,1
268,Jawbreaker,Dear You,Chemistry,1
269,Naked Raygun,Jettison,Soldiers Requiem,1
270,Naked Raygun,Raygun...Naked Raygun,Camarilla,1
271,Naked Raygun,Jettison,Vanilla Blue,1
272,Fog Lake,Dragonchaser,Push,1
273,Vansire,Driftless,Driftless,1
274,Good Good Blood,Heart Land,I'm So Ugly,1
275,Ourselves the Elves,Wounds,Wounds,1
276,Odina,Broken,"You Loved Me, You Killed Me",1
277,Boyscott,Goose Bumps,Embarrassingly Enough,1
278,Suburban Lawns,Suburban Lawns,Janitor,1
279,Mild High Club,Timeline,Elegy,1
280,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,"Tonight, Tonight",2
281,Oasis,(What's The Story) Morning Glory? [Remastered],Wonderwall - Remastered,20
282,Aerosmith,I Don't Want To Miss A Thing,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",16
283,Natalie Merchant,Retrospective 1990-2005 [Ltd. Deluxe Version],Jealousy - Remastered Single Version,1
284,TLC,Crazysexycool,Waterfalls,4
285,The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,1979,8
286,Natalie Imbruglia,Left Of The Middle,Torn,4
287,Lisa Loeb & Nine Stories,Tails,Stay,1
288,Toni Braxton,Toni Braxton,Breathe Again,2
289,Sarah McLachlan,Surfacing,Angel,1
290,The Verve,Urban Hymns,Bitter Sweet Symphony,8
291,Soul Asylum,Grave Dancers Union,Runaway Train,4
292,The Verve Pipe,Villains,The Freshmen,3
293,Dido,Life For Rent,White Flag,7
294,Sade,The Best Of Sade,Smooth Operator - Single Version,2
295,DNA,The Best Of Suzanne Vega - Tried And True,"Tom's Diner - 7"" Version",2
296,Hootie & The Blowfish,Cracked Rear View,Only Wanna Be With You,4
297,Cali Swag District,The Kickback,Teach Me How to Dougie,7
298,LMFAO,Party Rock,Shots,9
299,Vanilla Ice,Vanilla Ice Is Back! - Hip Hop Classics,Ice Ice Baby,10
300,The Isley Brothers,The RCA Collection,Shout - Parts 1 & 2,1
301,Flo Rida,Mail On Sunday,Low (feat T-Pain) - Feat T-Pain Album Version,19
302,The Black Eyed Peas,The Beginning,The Time (Dirty Bit),5
303,Usher,Raymond v Raymond,OMG,6
304,Michael Jackson,Thriller 25 Super Deluxe Edition,Thriller,8
305,Sir Mix-A-Lot,Mack Daddy,Baby Got Back,8
306,P!nk,Raise Your Glass,Raise Your Glass,6
307,Mr. C The Slide Man,Cha Cha Slide,Cha Cha Slide - Original Live Platinum Band Mix,2
308,Neil Diamond,Sweet Caroline,Sweet Caroline,21
309,Cupid,Time For A Change,Cupid Shuffle,6
310,Lady Gaga,The Fame,Just Dance,12
311,Cascada,Evacuate The Dancefloor,Evacuate The Dancefloor,2
312,Daft Punk,Discovery,One More Time,5
313,Flo Rida,Only One Flo [Part 1],Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta,4
314,Pitbull,Planet Pit (Deluxe Version),Give Me Everything,7
315,LMFAO,Sorry For Party Rocking,Party Rock Anthem,8
316,Rihanna,Talk That Talk,We Found Love,11
317,Train,"Save Me, San Francisco (Golden Gate Edition)",Marry Me,7
318,Nicki Minaj,Pink Friday ... Roman Reloaded,Starships,15
319,Etta James,At Last!,At Last - Single Version,5
320,Wild Cherry,Wild Cherry,Play That Funky Music,7
321,Old School Players,30 Essential Old School Hits,Tootsie Roll,1
322,Michael Jackson,The Essential Michael Jackson,The Way You Make Me Feel - Single Version,1
323,Will Smith,Big Willie Style,Miami,1
324,Michael Jackson,Thriller 25 Super Deluxe Edition,Billie Jean,17
325,Bob Marley & The Wailers,Is This Love,Is This Love - Montmartre Remix,1
326,Jason Derulo,Talk Dirty,Marry Me,7
327,Ed Sheeran,x,Thinking Out Loud,29
328,Bruno Mars,Doo-Wops & Hooligans,Marry You,10
329,Edwin McCain,Messenger,I Could Not Ask For More,1
330,Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky,8
331,Sixpence None The Richer,Sixpence None the Richer,Kiss Me,7
332,American Authors,"Oh, What A Life",Best Day Of My Life,12
333,K-Ci & JoJo,Love Always,All My Life,7
334,Toploader,Onka's Big Moka,Dancing in the Moonlight,5
335,Colbie Caillat,All Of You,I Do,1
336,Beyoncé,I AM...SASHA FIERCE - Platinum Edition,Single Ladies (Put a Ring on It),9
337,Dave Matthews Band,Big Whiskey and the GrooGrux King,You & Me,3
338,The Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),I Gotta Feeling,21
339,Miley Cyrus,Bangerz (Deluxe Version),We Can't Stop,15
340,Rascal Flatts,Melt,I Melt,1
341,Rascal Flatts,Unstoppable,Summer Nights,1
342,Rascal Flatts,Me And My Gang,My Wish,4
343,Rascal Flatts,Me And My Gang,Life Is A Highway,8
344,Rascal Flatts,Feels Like Today,Bless The Broken Road,12
345,Rascal Flatts,Rewind,Payback,1
346,Tom Petty and the Heartbreakers,Greatest Hits,Mary Jane's Last Dance,6
347,Taio Cruz,The Rokstarr Hits Collection,Dynamite,14
348,Tiësto,A Town Called Paradise,Wasted,13
349,The Lumineers,The Lumineers,Ho Hey,14
350,Flo Rida,R.O.O.T.S. (Route Of Overcoming The Struggle),Right Round - feat. Ke$ha,6
351,Flo Rida,Wild Ones,Whistle,8
352,Flo Rida,Wild Ones,Good Feeling,8
353,House Of Pain,House of Pain (Fine Malt Lyrics),Jump Around,7
354,Kris Kross,Totally Krossed Out,Jump,6
355,Next,Welcome II Nextasy,Wifey - Club Mix/Dirty Version,2
356,Chris Brown,Exclusive - The Forever Edition,Wall To Wall,5
357,Chris Brown,Electroman,Beautiful People - Radio Edit,4
358,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,This Is How We Roll,17
359,Chris Brown,X (Deluxe Version),Love More,10
360,Clean Bandit,I Cry When I Laugh,Rather Be (feat. Jess Glynne),24
361,MKTO,MKTO,Classic,10
362,Charli XCX,SUCKER,Boom Clap,9
363,Calvin Harris,Motion,Summer,11
364,Becky G,Shower,Shower,4
365,Ariana Grande,My Everything,Problem,15
366,Macklemore & Ryan Lewis,The Heist,Can't Hold Us - feat. Ray Dalton,19
367,Pitbull,Global Warming: Meltdown (Deluxe Version),Timber,16
368,The Aranbee Pop Symphony Orchestra,Bittersweet Symphony,Bittersweet Symphony,1
369,Creedence Clearwater Revival,Creedence Clearwater Revival,I Put A Spell On You,2
370,STRFKR,Reptilians,Bury Us Alive,1
371,311,311,Jackolantern's Weather,2
372,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,S.O.B.,6
373,Toadies,Rubberneck,Possum Kingdom,3
374,Queens of the Stone Age,Songs For The Deaf,No One Knows,3
375,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),Zombie,8
376,Misfits,Project 1950,Monster Mash,1
377,Misfits,Evilive,Ghouls Night Out - Live,1
378,Misfits,Static Age,Hybrid Moments,2
379,Willy Moon,Here's Willy Moon,Yeah Yeah,1
380,The Flys,Holiday Man,Got You (Where I Want You),2
381,Tame Impala,Currents,The Less I Know The Better,12
382,Sia,1000 Forms Of Fear,Chandelier,23
383,Sia,1000 Forms Of Fear,Elastic Heart,9
384,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Dancing Shoes,1
385,Fink,"Fink’s Sunday Night Blues Club, Vol. 1",Hard To See You Happy,1
386,James Vincent McMorrow,We Move,One Thousand Times,1
387,VÉRITÉ,Somebody Else,Somebody Else,4
388,dvsn,SEPT 5TH,Hallucinations,3
389,Starley,Call On Me,Call On Me - Ryan Riback Extended Remix,16
390,HAIM,Days Are Gone,If I Could Change Your Mind,1
391,Kiiara,Feels,Feels,7
392,Tash Sultana,Notion,Jungle,1
393,Thomston,Topograph,Window Seat,1
394,Kiiara,low kii savage,Tennessee,1
395,Oh Wonder,Oh Wonder,Livewire,3
396,Banks,Crowded Places,Crowded Places,4
397,Diddy,Bad Boy's 10th Anniversary- The Hits,"I Need a Girl Part 2 (feat. Loon, Ginuwine & Mario Winans)",3
398,Flume,Hyperreal,Hyperreal,1
399,Niia,I,California,1
400,Halsey,hopeless fountain kingdom,Eyes Closed,2
401,Elliot Moss,Boomerang,Closedloop,1
402,The Kite String Tangle,The Kite String Tangle,Selfish,2
403,London Grammar,Truth Is a Beautiful Thing (Deluxe),Wild Eyed,1
404,Childish Gambino,"""Awaken, My Love!""",Redbone,28
405,LANY,LANY,13,2
406,Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper],May I Have This Dance (Remix) [feat. Chance the Rapper],2
407,Water Park,Something Like Chaos,Something Like Chaos,1
408,Joe Goddard,Ordinary Madness,Ordinary Madness - Edit,1
409,Stereophonics,Scream Above The Sounds,All In One Night,1
410,Niia,Nobody,Nobody - Atom Tree Remix,1
411,Rudimental,Sun Comes Up,Sun Comes Up - OFFAIAH Remix,1
412,Stateless,Stateless,Bloodstream,2
413,The Paper Kites,Woodland - EP,Bloom - Bonus Track,13
414,Yeo,Desire Path,Chasing Shadows,1
415,GOSTO,Memory Ivy,I Don't See,1
416,Sol Rising,Soul Vibrations,The Journey,1
417,Dagny,Backbeat,Backbeat - Acoustic,1
418,Bonobo,Migration,No Reason,1
419,Gotts Street Park,Love In Bad Company,Love In Bad Company,1
420,Rhye,Summer Days,Summer Days - Roosevelt Remix,1
421,Aquilo,Silhouettes,Complication,1
422,BASECAMP,In Stone,Reap,1
423,Bruno Major,A Song For Every Moon,Just The Same,2
424,Alpines,Another River,Motionless,1
425,James Hersey,Miss You,Miss You - HONNE Remix,1
426,Jessie J,Think About That,Think About That,1
427,Rudimental,Sun Comes Up,Sun Comes Up - Heyder Remix,1
428,Disclosure,Settle,Latch,23
429,George Maple,Lover,Hero,1
430,DeJ Loaf,No Fear,No Fear,2
431,Great Good Fine Ok,Find Yourself,Find Yourself,2
432,John Splithoff,Show Me (feat. Madison Ryann Ward),Show Me (feat. Madison Ryann Ward),3
433,HAIM,Little of Your Love,Little of Your Love - BloodPop® Remix,2
434,Asta,Dynamite (feat. Allday),Dynamite (feat. Allday),1
435,Charlie Puth,Attention,Attention,11
436,Fred V & Grafix,Oxygen,Altitude,1
437,Catfish and the Bottlemen,The Ride,Twice,1
